TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,28,Not Available,027 *,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,29,Not Available,التاسع والعشرون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,30,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,31,﴿,(33),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,38:42,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,32,﴿,(34),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,22:36,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,33,﴿,(37),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,27:12,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,34,﴿,(35),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,45:14,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,35,﴿,(36),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,26:21,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,36,﴿,(37),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,26:21,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,37,﴿,(38),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,27:47,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
