SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
6,الملخص شرح كتاب التوحيد,جامع الورود,Tuesday,2025-10-14,Mp3 Editor_251013233321.mp3,Series,Not Available,التوحيد,الخامس  بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,10:35,Aqeedah,Schedule (Tuesday),none
7,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-10-15,Mp3 Editor_251015104410.mp3,Series,Not Available,التوحيد,السادس  بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,12:05,Aqeedah,Keyword Match (Wednesday),matched by keywords
8,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-10-15,Mp3 Editor_251015105458.mp3,Series,Not Available,التوحيد,السابع  بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,14:05,Aqeedah,Keyword Match (Wednesday),matched by keywords
9,الملخص شرح كتاب التوحيد,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015223832.mp3,Series,Not Available,التوحيد,الثامن بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,06:59,Aqeedah,Keyword Match (Thursday),matched by keywords
10,الملخص شرح كتاب التوحيد,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017120729.mp3,Series,Not Available,التوحيد,التاسع بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,06:47,Aqeedah,Keyword Match (Friday),matched by keywords
11,الملخص شرح كتاب التوحيد,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017153618.mp3,Series,Not Available,التوحيد,العاشر بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,09:22,Aqeedah,Keyword Match (Friday),matched by keywords
12,الملخص شرح كتاب التوحيد,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017170123.mp3,Series,Not Available,التوحيد,الحادي عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,07:50,Aqeedah,Keyword Match (Friday),matched by keywords
13,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-10-22,Mp3 Editor_251022061746.mp3,Series,Not Available,التوحيد,الثاني عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,18:26,Aqeedah,Keyword Match (Wednesday),matched by keywords
14,الملخص شرح كتاب التوحيد,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026022439.mp3,Series,Not Available,التوحيد,الثالث عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:45,Aqeedah,Schedule (Sunday),none
15,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-10-29,AUD-20251029-WA0002.m4a,Series,Not Available,التوحيد,الرابع عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,16:22,Aqeedah,Keyword Match (Wednesday),matched by keywords
16,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-10-29,Ringtone_AUD-20251029-WA0006.mp3,Series,Not Available,التوحيد,الخامس عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,07:22,Aqeedah,Keyword Match (Wednesday),matched by keywords
17,الملخص شرح كتاب التوحيد,جامع الورود,Thursday,2025-11-27,Mp3 Editor_251127124005.mp3,Series,Not Available,التوحيد,السادس عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,09:15,Aqeedah,Keyword Match (Thursday),matched by keywords
18,الملخص شرح كتاب التوحيد,جامع الورود,Sunday,2025-11-30,Mp3 Editor_251129225126.mp3,Series,Not Available,التوحيد,السابع عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,10:17,Aqeedah,Schedule (Sunday),none
19,الملخص شرح كتاب التوحيد,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251201223831.mp3,Series,Not Available,التوحيد,الثامن عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,10:46,Aqeedah,Schedule (Tuesday),none
20,الملخص شرح كتاب التوحيد,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251202160312.mp3,Series,Not Available,التوحيد,التاسع عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,06:58,Aqeedah,Schedule (Tuesday),none
21,الملخص شرح كتاب التوحيد,جامع الورود,Monday,2025-12-08,AUD-20251208-WA0006.m4a,Series,Not Available,التوحيد,العشرون بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,08:14,Aqeedah,Keyword Match (Monday),matched by keywords
22,الملخص شرح كتاب التوحيد,جامع الورود,Tuesday,2025-12-09,AUD-20251208-WA0009.m4a,Series,Not Available,التوحيد,الواحد والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,11:28,Aqeedah,Schedule (Tuesday),none
23,الملخص شرح كتاب التوحيد,جامع الورود,Tuesday,2025-12-09,AUD-20251208-WA0010.m4a,Series,Not Available,التوحيد,الثاني والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,13:54,Aqeedah,Schedule (Tuesday),none
24,الملخص شرح كتاب التوحيد,جامع الورود,Friday,2025-12-12,AUD-20251212-WA0000.m4a,Series,Not Available,التوحيد,الخامس والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,12.12.2025,17:02,Aqeedah,Keyword Match (Friday),matched by keywords
25,الملخص شرح كتاب التوحيد,جامع الورود,Thursday,2025-12-18,AUD-20251217-WA0001.m4a,Series,Not Available,التوحيد,السادس والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,14:17,Aqeedah,Keyword Match (Thursday),matched by keywords
26,الملخص شرح كتاب التوحيد,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,التوحيد,الثامن والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,12:04,Aqeedah,Keyword Match (Monday),matched by keywords
27,الملخص شرح كتاب التوحيد,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-17-22-12.m4a,Series,Not Available,التوحيد,السابع والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,19:35,Aqeedah,Keyword Match (Monday),matched by keywords
28,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-12-24,AUDIO-2025-12-24-17-02-49.m4a,Series,Not Available,التوحيد,التاسع والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,24.12.2025,08:16,Aqeedah,Keyword Match (Wednesday),matched by keywords
29,الملخص شرح كتاب التوحيد,جامع الورود,Sunday,2025-12-28,AUDIO-2025-12-28-19-47-31.m4a,Series,Not Available,التوحيد,الثلاثون بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,09:14,Aqeedah,Schedule (Sunday),none
30,الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,2025-12-31,AUDIO-2025-12-30-18-50-52.m4a,Series,Not Available,التوحيد,واحد و,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,31.12.2025,11:27,Aqeedah,Keyword Match (Wednesday),matched by keywords
31,الملخص شرح كتاب التوحيد,جامع الورود,Monday,2026-01-19,AUDIO-2026-01-18-20-41-26.m4a,Series,Not Available,التوحيد,الثاني والثلاثون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,13:35,Aqeedah,Keyword Match (Monday),matched by keywords
1,الأفنان الندية,Online,Wednesday,2025-10-08,4_5996911497937164265.mp3,Series,Not Available,الربا -,العاشر عن,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,18:36,Fiqh,Keyword Match (Wednesday),matched by keywords
2,الأفنان الندية,Online,Friday,2025-10-10,Mp3 Editor_251010204807.mp3,Series,Not Available,الربا -,الحادي عشر,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,23:24,Fiqh,Keyword Match (Friday),matched by keywords
3,الأفنان الندية,Online,Friday,2025-10-10,Mp3 Editor_251010205658.mp3,Series,Not Available,الربا والقرض -,الثاني عشر,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,10:37,Fiqh,Keyword Match (Friday),matched by keywords
4,الأفنان الندية,Online,Sunday,2025-10-26,AUD-20251026-WA0007.m4a,Series,Not Available,البيوع,الثامن عشر,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:33,Fiqh,Schedule (Sunday),none
5,الأفنان الندية,Online,Sunday,2025-10-26,AUD-20251021-WA0026.m4a,Series,Not Available,البيوع,التاسع عشر,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,17:12,Fiqh,Schedule (Sunday),none
6,الأفنان الندية,Online,Sunday,2025-10-26,AUD-20251021-WA0036.m4a,Series,Not Available,البيوع,العشرون عن,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,18:56,Fiqh,Schedule (Sunday),none
7,الأفنان الندية,Online,Wednesday,2025-10-29,AUD-20251029-WA0000.m4a,Series,Not Available,البيوع,الواحد والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,25:02,Fiqh,Keyword Match (Wednesday),matched by keywords
8,الأفنان الندية,Online,Thursday,2025-11-27,AUD-20251127-WA0003.m4a,Series,Not Available,البيوع,الثاني والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,12:14,Fiqh,Keyword Match (Thursday),matched by keywords
9,الأفنان الندية,Online,Sunday,2025-11-30,AUD-20251129-WA0010.m4a,Series,Not Available,البيوع,الثالث والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,26:07,Fiqh,Schedule (Sunday),none
10,الأفنان الندية,Online,Tuesday,2025-12-02,AUD-20251202-WA0007.m4a,Series,Not Available,البيوع,السادس والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,24:15,Fiqh,Keyword Match (Tuesday),matched by keywords
11,الأفنان الندية,Online,Monday,2025-12-08,AUD-20251204-WA0005.m4a,Series,Not Available,البيوع,السابع والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,16:12,Fiqh,Schedule (Monday),none
12,الأفنان الندية,Online,Saturday,2025-12-13,AUD-20250901-WA0001.m4a,Series,Not Available,الربا -,الثامن عن,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,27:52,Fiqh,Keyword Match (Saturday),matched by keywords
13,الأفنان الندية,Online,Saturday,2025-12-13,AUD-20251213-WA0002.m4a,Series,Not Available,الربا -,التاسع عن,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,31:29,Fiqh,Keyword Match (Saturday),matched by keywords
14,الأفنان الندية,Online,Saturday,2025-12-13,AUD-20251213-WA0003.m4a,Series,Not Available,الربا -,الرابع والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,14:21,Fiqh,Keyword Match (Saturday),matched by keywords
15,الأفنان الندية,Online,Saturday,2025-12-13,AUD-20251213-WA0005.m4a,Series,Not Available,الربا -,الخامس والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,10:30,Fiqh,Keyword Match (Saturday),matched by keywords
16,الأفنان الندية,Online,Saturday,2025-12-13,AUD-20251213-WA0006.m4a,Series,Not Available,الربا -,الثامن والعشرون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,16:12,Fiqh,Keyword Match (Saturday),matched by keywords
17,الأفنان الندية,Online,Monday,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,البيوع باب الوقف -,الواحد والثلاثون,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,19:41,Fiqh,Schedule (Monday),none
18,الأفنان الندية,Online,Monday,2025-12-22,AUDIO-2025-12-22-14-05-30.m4a,Series,Not Available,الفرائض,الاول في,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,21:26,Fiqh,Schedule (Monday),none
19,الأفنان الندية,Online,Monday,2025-12-22,AUDIO-2025-12-22-21-23-10.m4a,Series,Not Available,الفرائض باب الوصية,الثاني في,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,20:31,Fiqh,Schedule (Monday),none
20,الأفنان الندية,Online,Tuesday,2025-12-30,AUDIO-2025-12-29-22-32-50.m4a,Series,Not Available,الفرائض باب أنواع الإرث,الثالث في,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,30.12.2025,46:48,Fiqh,Keyword Match (Tuesday),matched by keywords
21,الأفنان الندية,Online,Monday,2026-01-19,AUDIO-2026-01-18-21-18-16.m4a,Series,Not Available,الفرائض باب من يرث بالنسب,الرابع في,زيد بن هادي المدخلي,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,17:21,Fiqh,Schedule (Monday),none
1,Unknown,Online,Thursday,2025-10-09,4_5996911497937164380.m4a,Unknown,Not Available,Not Available,الرابع عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,26:56,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: Online)"
2,Unknown,Online,Tuesday,2025-10-14,Mp3 Editor_251013232558.mp3,Unknown,Not Available,السلم والقرض -,الثالث عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,13:02,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: Online)"
3,Unknown,Online,Wednesday,2025-10-15,AUD-20251012-WA0011.m4a,Unknown,Not Available,السلم والقرض -,الرابع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,23:00,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
4,Unknown,Online,Wednesday,2025-10-15,Mp3 Editor_251015104815.mp3,Unknown,Not Available,Not Available,السادس عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,28:58,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
5,Unknown,Online,Thursday,2025-10-16,Mp3 Editor_251015224410.mp3,Unknown,Not Available,الكتابة والإشهاد والرهن في المعاملة -,الخامس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,14:15,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: Online)"
6,Unknown,Online,Thursday,2025-10-16,Mp3 Editor_251015230010.mp3,Unknown,Not Available,الرهن -,السادس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,13:16,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: Online)"
7,Unknown,Online,Friday,2025-10-17,AUD-20251012-WA0037.m4a,Unknown,Not Available,الحوالة والضمان -,السابع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:31,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: Online)"
8,Unknown,Online,Friday,2025-10-17,Mp3 Editor_251017165500.mp3,Unknown,Not Available,Not Available,السابع عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,24:03,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: Online)"
9,Unknown,Online,Sunday,2025-10-26,AUD-20251021-WA0054.m4a,Unknown,Not Available,Not Available,الثامن عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,38:24,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: Online)"
10,Unknown,Online,Wednesday,2025-10-29,AUD-20251028-WA0003.m4a,Unknown,Not Available,Not Available,التاسع عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,20:27,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
11,Unknown,Online,Tuesday,2025-12-09,AUD-20251208-WA0011.m4a,Unknown,Not Available,الطلاق: باب العدة .,الثامن عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,25:14,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: Online)"
12,Unknown,Online,Saturday,2025-12-13,AUD-20251213-WA0004.m4a,Unknown,Not Available,الهبة والعمرى والركبة -,التاسع والعشرون,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,41:02,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
13,Unknown,Online,Saturday,2025-12-13,AUD-20251213-WA0007.m4a,Unknown,Not Available,Not Available,الثاني عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,12:50,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
14,Unknown,Online,Saturday,2025-12-13,AUD-20250903-WA0000.m4a,Unknown,Not Available,Not Available,الثالث عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,11:08,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
15,Unknown,Online,Saturday,2025-12-13,AUD-20251213-WA0008.m4a,Unknown,Not Available,Not Available,الخامس عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,16:16,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
16,Unknown,Online,Saturday,2025-12-13,AUD-20251213-WA0009.m4a,Unknown,Not Available,Not Available,العاشر عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,18:14,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
17,Unknown,Online,Saturday,2025-12-13,AUD-20251213-WA0010.m4a,Unknown,Not Available,Not Available,الرابع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,26:10,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: Online)"
18,Unknown,Online,Thursday,2025-12-18,AUD-20251217-WA0005.m4a,Unknown,Not Available,الأرض الموات -,الثلاثون عن,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,11:39,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: Online)"
19,Unknown,Online,Thursday,2025-12-18,AUD-20251217-WA0004.m4a,Unknown,Not Available,الأرض الموات -,الواحد والثلاثون,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,19:41,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: Online)"
20,Unknown,Online,Monday,2025-12-22,Not Available,Unknown,Not Available,Not Available,الخامس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: Online)"
21,Unknown,Online,Wednesday,2025-12-31,AUDIO-2025-12-30-21-23-04.m4a,Unknown,Not Available,Not Available,السادس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,31.12.2025,18:49,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
1,الملخص الفقهي,جامع الورود,Wednesday,2025-10-15,Mp3 Editor_251015105923.mp3,Series,Not Available,Not Available,السادس بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,08:34,Fiqh,Schedule (Wednesday),none
2,الملخص الفقهي,جامع الورود,Wednesday,2025-10-29,AUD-20251029-WA0004.m4a,Series,Not Available,Not Available,الرابع عشر,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,05:56,Fiqh,Schedule (Wednesday),none
3,الملخص الفقهي,جامع الورود,Monday,2025-12-08,Mp3 Editor_251208211500 (1).mp3,Series,Not Available,Not Available,العشرون بجامع,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,12:09,Fiqh,Schedule (Monday),none
4,الملخص الفقهي,جامع الورود,Monday,2025-12-22,AUDIO-2025-12-22-17-25-03.m4a,Series,Not Available,الصلاة ( ٤ ),السادس والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,10:17,Fiqh,Schedule (Monday),none
5,الملخص الفقهي,جامع الورود,Wednesday,2025-12-24,AUDIO-2025-12-24-17-02-41.m4a,Series,Not Available,الصلاة (٥ ),السادس والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,24.12.2025,19:29,Fiqh,Schedule (Wednesday),none
6,الملخص الفقهي,جامع الورود,Monday,2026-01-19,AUDIO-2026-01-19-18-59-14.m4a,Series,Not Available,الصلاة (٨ ),التاسع والعشرون,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,17:21,Fiqh,Schedule (Monday),none
1,تأسيس الأحكام شرح عمدة الأحكام,Online,Sunday,2025-10-26,AUD-20251022-WA0024.m4a,Series,Not Available,النكاح: باب الصداق .,السابع عن,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,20:30,Hadeeth,Keyword Match (Sunday),matched by keywords
2,تأسيس الأحكام شرح عمدة الأحكام,Online,Monday,2025-12-22,AUDIO-2025-12-22-07-20-24.m4a,Series,Not Available,اللعان,الاول عن,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,29:17,Hadeeth,Keyword Match (Monday),matched by keywords
3,تأسيس الأحكام شرح عمدة الأحكام,Online,Friday,2025-12-26,AUDIO-2025-12-25-21-15-03.m4a,Series,Not Available,اللعان,الثاني عن,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,26.12.2025,21:52,Hadeeth,Keyword Match (Friday),matched by keywords
4,تأسيس الأحكام شرح عمدة الأحكام,Online,Thursday,2026-01-01,AUDIO-2025-12-31-23-27-32.m4a,Series,Not Available,اللعان,الثالث عن,أحمد بن يحيى النجمي,حسن بن محمد منصور الدغريري,Not Available,01.01.2026,21:03,Hadeeth,Keyword Match (Thursday),matched by keywords
1,معارج القبول شرح منظومة سلم الوصول,Online,Tuesday,2025-10-07,Not Available,Series,Not Available,Not Available,Not Available,حافظ حكمي,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Not Available,Aqeedah,Schedule (Tuesday),none
2,معارج القبول شرح منظومة سلم الوصول,Online,Tuesday,2025-12-09,AUD-20251208-WA0008.m4a,Series,Not Available,Not Available,الثالث عشر,حافظ حكمي,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,28:36,Aqeedah,Schedule (Tuesday),none
1,مختصر السيرة النبوية,جامع الورود,Saturday,2026-01-03,AUDIO-2026-01-03-09-52-35.m4a,Series,Not Available,Not Available,الثاني بجامع,محمد بن عبدالوهاب,حسن بن محمد منصور الدغريري,Not Available,03.01.2026,36:08,Seerah,Schedule (Saturday),none
2,مختصر السيرة النبوية,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-14-54-56.m4a,Series,Not Available,Not Available,الثالث بجامع,محمد بن عبدالوهاب,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,27:14,Seerah,Schedule (Saturday),none
1,التحفة النجمية بشرح الأربعين النووية,جامع الورود,Saturday,2026-01-03,AUDIO-2026-01-03-09-53-46.m4a,Series,Not Available,Not Available,الثالث بجامع,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,03.01.2026,44:09,Hadeeth,Schedule (Saturday),none
2,التحفة النجمية بشرح الأربعين النووية,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-14-56-45.m4a,Series,Not Available,Not Available,الرابع بجامع,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,37:06,Hadeeth,Schedule (Saturday),none
1,تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام,جامع الورود,Saturday,2026-01-03,Subulussalam.m4a,Series,Not Available,سبل السلام من الفوائد والأحكام,الثالث من,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,03.01.2026,46:17,Fiqh,Schedule (Saturday),none
2,تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-14-52-58.m4a,Series,Not Available,سبل السلام من الفوائد والأحكام,الرابع من,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,43:41,Fiqh,Schedule (Saturday),none
1,الملخص شرح كتاب التوحيد,Online,Friday,2025-12-19,Not Available,Series,Not Available,التوحيد للإمام محمد بن عبدالوهاب 818871,Not Available,صالح الفوزان,حسن بن محمد منصور الدغريري,Not Available,19.12.2025,Not Available,Aqeedah,Keyword Match (Friday),matched by keywords
1,صحيح البخاري,جامع الورود,Friday,2026-01-02,AUD-20260102-WA0002.m4a,Series,Not Available,العلم والإيمان (من حديث ١ - ٣٠),الأول كتاب,محمد بن إسماعيل البخاري,حسن بن محمد منصور الدغريري,Not Available,02.01.2026,1:07,Hadeeth,Schedule (Friday),none
1,شرح السنة للبربهاري,جامع الورود,Sunday,2026-01-11,Not Available,Series,Not Available,والسنة ؛ ومن ذلكم ما يلي:,Not Available,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,11.01.2026,Not Available,Aqeedah,Keyword Match (Sunday),matched by keywords
1,إرشاد الساري شرح السنة للبربهاري,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-19-28-05.m4a,Series,Not Available,Not Available,الرابع عشر,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,45:08,Aqeedah,Schedule (Saturday),none
1,المورد العذب الزلال,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-21-35-58.m4a,Series,Not Available,Not Available,الثامن بجامع,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,20:37,Aqeedah,Schedule (Saturday),none
1,غنية السائل بما في لامية شيخ الإسلام من مسائل,جامع الورود,Saturday,2026-01-17,AUDIO-2026-01-17-21-42-37.m4a,Lecture,Not Available,Not Available,Not Available,أحمد النجمي,حسن بن محمد منصور الدغريري,Not Available,17.01.2026,51:16,Aqeedah,Schedule (Saturday),none
