SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
32,Unknown,جامع الورود,Thursday,2025-10-23,Not Available,Unknown,Not Available,Not Available,"(024)-
✏️",Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
33,Unknown,جامع الورود,Thursday,2025-10-23,Not Available,Unknown,Not Available,Not Available,025 *,Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
34,Unknown,جامع الورود,Thursday,2025-10-23,Not Available,Unknown,Not Available,Not Available,026 *,Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
35,Unknown,جامع الورود,Thursday,2025-10-23,Not Available,Unknown,Not Available,Not Available,027 *,Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
36,Unknown,جامع الورود,Thursday,2025-10-23,Not Available,Unknown,Not Available,Not Available,التاسع والعشرون,Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
37,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(33),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,38:42,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
38,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(34),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,22:36,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
39,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Unknown,Not Available,﴿,(37),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,27:12,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
40,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(35),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,45:14,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
41,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(36),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,26:21,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
42,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(37),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,26:21,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
43,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(38),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,27:47,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
44,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(39),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,29:10,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
45,Unknown,جامع الورود,Thursday,2025-10-23,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,﴿,(40),Not Available,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,33:18,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
46,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026012445.mp3,Unknown,Not Available,Not Available,الخامس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,1:08,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
